company_link,company_name,job_link,job_location,job_summary,job_title
http://www.indeed.com/cmp/Sni-Technology,SNI Technology,http://www.indeed.com/rc/clk?jk=576822853778af60&fccid=d971d823fda59d6b,"Jacksonville, FL","Three years experiences with machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc and with common data science...",Data Scientist
,IST,http://www.indeed.com/company/IST/jobs/Consultant-819b975eaea87ac7?fccid=96b4f9094d1b0c57,"Raleigh, NC","This position is responsible for modeling complex problems, discovering Institute insights and identifying opportunities through the use of statistical,...",Consultant - Data Science/Scientist
http://www.indeed.com/cmp/Camba,CAMBA,http://www.indeed.com/company/CAMBA/jobs/Svp-Evaluation-Strategy-79a9b1912a4c4a4f?fccid=e9fd7c487fd53113,"Brooklyn, NY","CAMBA's Department of Program Evaluation and Data Analysis*. In partnership with programs, this newly-create department determines outcome indicators, design...","SVP for Evaluation & Strategy, Program Evaluation and Data Analysis"
"http://www.indeed.com/cmp/Smith-Hanley-Associates,-LLC",Smith Hanley Associates,http://www.indeed.com/rc/clk?jk=2b81e49b5283c91a&fccid=867d82af62a0e5c1,"Grand Rapids, MI",Smith Hanley Associates is the premier recruiting agency serving the analytics and data science space....,Sr. Statistical Analyst
,IST,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dq0_NYMpCmQMDMdrs-8FPU9E20iyZ52Wc-2n2NcQzgARMIwSM9p_ZDIaCdvMKZ41x3dH9UlkP3too78kdixLVawdUvKApBEy7x23gHESpiDln0UmnFqwnUydkPLExMDZciLKYqNopjV08tgveT-49bcb_PcDMxhyQucRlac7oot6YcG-5KF-fDkB37TsTMAXSLfuKIP2FNo_fuhLte_lU2JvNoGiLgPHfQ10XFznH_KIyKWDr8fAVumMMQYtNCB9WLZgXTYzIArlKKziqbpl_kGoeWp8JogqmA5YGfVGcLSYBYBO9ymGF5EUj_P2lwgRM9TrXgrMU5ZZ265ISKV0EWnxQXPkdZoBCZoJWXEMYShUcbhnzMKm7OzOEpAtY9L_yjs1XenPaDWatbbSrVZxiz-R0hBzs2ydVr3W328JT6-I14b2LgFL32&p=4&sk=&fvj=1,"Raleigh, NC","This position is responsible for modeling complex problems, discovering Institute insights and identifying opportunities through the use of statistical,...",Consultant - Data Science/Scientist
http://www.indeed.com/cmp/Deloitte,Deloitte,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVN2aNd4LWgpe9WceUzUjnIT-0BZjiW2oHU3qSS8clV2GrX--eg3cPcqlKPOMX89l7qgiFA-cSf5hjblrXocWOBND4KuolrQAWELgnGCl3WnnhgUpcQgVdlcqlhIGJlZXZ4_5XsDgtS3X1ji4WW8OLPtcGiW_GfINlKP1hGHBl4sOo1HInxCwlq9oZ_9jSguIN5WBZ0L8QjNbkPsK74nEwPDcoUoft8tBlmcFPmMYyaT4QWDrYS63b3I3_iH-fOREn7K5Itonuglqz9snGdQv0H7wE4Jf8GQ5aX6eeV8uGXMnr1lBPKnpp4KL6m-QTySerhb2w3zjiy1Jir-O6xoNn3OfsxidonyvNnCui_CHZ_53wMXbS1T0yeRGKFonb1Sb8Et9Ulnwoucwmz6x2rsjdkTS7HL5P9b2vfI4KR2foWL9GqacPuNiW1c=&p=5&sk=&fvj=0,"Arlington, VA 22209","Know some background about the organization and the business area you’re applying to. Our Federal Strategy and Operations teams bring deep industry expertise,...",Data Scientist
,xometry,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD0OELDEqnL1IQCqVn7JgUoxXlX_sWZXJ9O4WRWF7QAoM98PEH3ZJjA_WW0BamLBAM1zBjSphw4wS8yZn8FeByfwrjaqRE1p03_y-n2hTd1cR7d8JCY89AwLjLYNasrvIUbF3jJ-ua3Hg4tvrwPdEE2JfkGgWeLvcqKaupY0uD6v9MnTVNEf7-4zwFwoJvoQUpW8MXipYN5Nh38AIlC1l8VaGVicgR9HWSgVavuZYXkWdXm7CuI_3ZCtpiduSgNTUa-Yqvp6DaHhDbSQpXkq7YqanErAlDdq0zzUZGEYoLzE50Tv2Ak4pLaij1SSzQpD4TaDjbSTbtvBZqa8rjSrQyZqlco4-peK3dI0IHg0d7fm8MGRXitSInUY41DjLnJyjCLlHlsRtUyH_FYGO0qu-v&p=1&sk=&fvj=0,"Durham, NC","Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. Knowledge of machine learning, optimization, and fitting...",Data Scientist
http://www.indeed.com/cmp/Novetta,Novetta,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DZbghDog6eAFViHltrtimeH7IE6OveQ-GQud_7SkddKZ31ufd3YNXn3pfpzCV9ckU8aF4FXEMdNMMuriPqwkORncW9ijpAUQMteJKA5qO_YPdZyJ6yQp__XO5UMaH6318gaUwG-w8bOWQ0mwrowcbvngOYmchTpoyIHdsXJkpDP-adShNmK0wdoq6_dwsfCwitlc1VXIyTIMrCkIYolM0YIuCenNuWj-8g8ZteDaZPBPepmij46VYLq0EAJT_haZ7-8OUIl7qzq3RSSuFiV38fVvLYYhhDn135z-RHHizyLDb5pb7Z8iNJE56aUa2wfpW5P3bfZI5SVlGUvrz4mTMHUa6YuwmBXTtwndnbVOo7plLp_E22QYjKC7NE4-ev4W5AFpgp00WME5VQzJqOu6SmOgn9c_36dXiJwEK4kmaGjZcOIR00yQXtynU0FLqRTqlh67HnciqMR0PHcv3bjedsYvUCZT1fnLOdJ7vCHMZ1fqrj41L2Rfmu-I9bXszJ_v5g0iwSdNERLkcSuOc4EK-yd2o-ocLW9awZK_A3nYKrqGZCT2G8LC-4JTWanRsqTeNFdrSJWDhUVesQTtMZSRnSAbnh5KKDo7hyG-7MVqEfNxff4hnmfSj6fzpPlv0axeDEIcpxTj4itebiM_r5X2rt4I-q3sM5V0QucgSxf6K2J1MWiSLtP-freEkUDAm8KhJjnedK4UKu_JjXsWQkuMlSokhAe7VX0A8pGclXqqhZmjeBeOxU-h8pQZYgdEKdCVD2minKLaEdO1hisWpSlDqI87zXr3Z9mD2ZpEvElmkYik1Otb7esf3LoQL89mpVNnnPeS8sK-UxQw==&p=2&sk=&fvj=0,"Crystal City, VA","Experience applying data mining and machine learning techniques in a professional context. Knowledge of data mining and machine learning algorithms, theories,...",Data Scientist
,IST,http://www.indeed.com/company/IST/jobs/Consultant-819b975eaea87ac7?fccid=96b4f9094d1b0c57,"Raleigh, NC","This position is responsible for modeling complex problems, discovering Institute insights and identifying opportunities through the use of statistical,...",Consultant - Data Science/Scientist
,EZEN Computer Services Inc.,http://www.indeed.com/company/Ezen-Computer-Services-Inc./jobs/Big-Data-Developer-4b9949b30a2d0398?fccid=c8ae3cb8fef2d62a,"Jersey City, NJ",Work with developers and data scientists to understand and deliver on business requirements for ML & cognitive projects....,Big Data Developer
,Whiz Finder Corporation,http://www.indeed.com/company/Whiz-Finder-Corporation/jobs/Senior-Statistical-Programmer-1bfc1887ede764f0?fccid=81fde8565ea85612,"East Hanover, NJ",At least 8 years work experience in a Statistical (SAS) programming role preferably supporting clinical trials or in the pharmaceutical industry (5 years for...,Senior Statistical Programmer
http://www.indeed.com/cmp/JPMorgan-Chase,JPMorgan Chase,http://www.indeed.com/rc/clk?jk=69119512f6a0992a&fccid=c46d0116f6e69eae,"Phoenix, AZ","Requires 2+ years (preferably 4+) of Data Analysis/Data Mining experience querying Oracle, DB2, Teradata relational databases using SQL via Toad, MS Access,...",Business Systems Analyst -MIS Data Analysis/Mining
http://www.indeed.com/cmp/Just-Energy,Just Energy,http://www.indeed.com/rc/clk?jk=d50f9b0bb4ba6732&fccid=5ea662d35a330ff2,"Houston, TX 77056 (Galleria-Uptown area)","You effectively manage multiple tasks or projects on time, and you help your team to do the same. By developing and maintaining models to support retail pricing...",Structuring Quantitative Analyst
"http://www.indeed.com/cmp/Smith-Hanley-Associates,-LLC",Smith Hanley Associates,http://www.indeed.com/rc/clk?jk=2b81e49b5283c91a&fccid=867d82af62a0e5c1,"Grand Rapids, MI",Smith Hanley Associates is the premier recruiting agency serving the analytics and data science space....,Sr. Statistical Analyst
,"SeLux Diagnostics, Inc.","http://www.indeed.com/company/SeLux-Diagnostics,-Inc./jobs/Senior-Computer-Data-Scientist-a58f88a50614b5c2?fccid=86a67c18e8f1ba8b","Watertown, MA 02472","We are looking for a self-motivated, experienced Data/Computer Scientist/Engineer, with specific expertise in applying and optimizing machine learning...",Senior Computer/Data Scientist
http://www.indeed.com/cmp/Howard-Hughes-Medical-Institute,Howard Hughes Medical Institute,http://www.indeed.com/rc/clk?jk=1ae7ef7b0b1538e2&fccid=5c4cd9e85a550f93,"Madison, WI","Present data to the Principal Investigator (monthly progress reports), to the entire lab (lab meetings ~1-2 times a year), and occasionally at scientific...",Research Specialist I
http://www.indeed.com/cmp/L'oreal-USA,L'Oreal USA,http://www.indeed.com/rc/clk?jk=3eb64eb4171516df&fccid=362244bb2b7edf16,"New York, NY",This highly strategic role in the group is responsible for implementing the anonymous data strategy to ensure the right customer data (known and anonymous) is...,"L'Oreal USA, Data Activation & DMP Lead"
,SelectQuote Senior,http://www.indeed.com/company/SelectQuote-Senior/jobs/Senior-Data-Scientist-Developer-9db012fb54a49e54?fccid=c14fe3efe09c9be5,"Leawood, KS",3+ Years of AWS Machine Learning or Microsoft Azure Machine Learning tools. Collaborates with database engineers and other scientists....,Sr. Data Scientist Developer
,"Syntelli Solutions, Inc",http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dqrr-Rjg2XLksGNbp1zr5zrpCZUmaYUPA5zQ_vrCj_X6a_99tNJpNpXW6b2-NnzR-s72LGlIrkkvWFRwr2frmiwkGfTVc8Qgg6uKo4D4z8Hcb6niEHqdp_J0Q9g6aYSoYTmug_FVffV-BytzsyRywat9mGc-I5TUBSSm9aCnGBxbcJZXK6ZF_eGAvufPZjc2ZP2jfxXXCegNs7SPv1VRuld43xplqkkpJXWiwHl-NPabnpYuy8iFQyQUCRs17EdMFWH37BpYOYe6RtH1B762Q1P-W4I28AkeJ1T3FgUxy9RDR90S6CT3WxiPfX_qm3DPnheCvhAJGvET9l66zylJxOCL8cUbhfsieIYE2lLKbaIkMew9SNguGFvfSznlM8AtK2WsdeZ1LhqVVifPLIzTwkDP6A-oyuvmX6Zs6tZoov9A==&p=3&sk=&fvj=1,"Charlotte, NC 28277",2+ years as Senior/Lead Data Scientist. Lead role in our very fast growing Data Science team from marketing analytics perspective....,Data Scientist
,IST,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dq0_NYMpCmQMDMdrs-8FPU9E20iyZ52Wc-2n2NcQzgARMIwSM9p_ZDIaCdvMKZ41x3dH9UlkP3too78kdixLVawdUvKApBEy7x23gHESpiDln0UmnFqwnUydkPLExMDZciLKYqNopjV08tgveT-49bcb_PcDMxhySvW_CFyBTuL97xegTBu8U2smhCB9UkFPhRvBz6KzSXz6BNMMoLdj7A1Vf7nDLxS-1dE7bavVaRv5Hdsdf5rnc10wVTbwkjPd0f4bdY57mVKcLbUrTSvAVX6jC7M0aoKzSqnO8Mz-nIIVuRUnm0rcGU79rw1_whICHdcFjZ99sH--AtTudUPhDodgLXs0a3TW0hKFes9Qa56yQ-yjL-2vhh1wav9CDTvmbln6Kr_nHNCsdOCzjv20r4ruvod4cwHzh-2bUXITe5jhpZGhoOcIKN&p=4&sk=&fvj=1,"Raleigh, NC","This position is responsible for modeling complex problems, discovering Institute insights and identifying opportunities through the use of statistical,...",Consultant - Data Science/Scientist
