,description,id,location,name,price,seller,strikethrough-price,url
33,"More than 1,500 Facebook likes!

Changing your behavior is key to reaching and maintaining your health goals. Whether you want to get a fit physi...",1340374,Pittsburgh,Two Months of Fusion or BeFit Classes,$99,Umberger Performance,$238,https://www.livingsocial.com/deals/1340374-two-months-of-fusion-or-befit-classes?pos=33
34,"Why You'll Love It
Learn more about these services
Indigenous Website | Facebook
_____• $59.99 ($125.00 value) for Haircut, Full Head of Highlig...",1596862,Pittsburgh,Haircut and Full Head of Highlights,$59.99,Indigenous Hair Designs,$125,https://www.livingsocial.com/deals/1596862-haircut-and-full-head-of-highlights?pos=34
35,"Why You'll Love It
Learn more about this salon
Lizzy &amp; Co. Beauty Bar &amp; Salon Facebook
______• $39.99 ($65.00 value) for A. One One-Hour...",1596188,Pittsburgh,1 or 3 One-Hour Swedish Massages,$39.99,Lizzy & Co. Beauty Bar & Salon,$65,https://www.livingsocial.com/deals/1596188-1-or-3-one-hour-swedish-massages?pos=35
36,"A family-owned spot bringing Pleasant Hills residents king crabs and other seafood delights, this spot welcomes visitors with heaping buckets of mu...",1535308,Pleasant Hills,$50 to Spend on Chesapeake Bay Seafood,$25,The Baltimore House,$50,https://www.livingsocial.com/deals/1535308-50-to-spend-on-chesapeake-bay-seafood?pos=36
37,"Why You'll Love It
Learn more about the spa services
Glo Skincare Studio and Day Spa Website | Facebook
_____• $55.99 ($80.00 value) for A. 50-M...",1592228,Pittsburgh,Spa Treatment Package,$55.99,Glo Skincare Studio and Day Spa,$80,https://www.livingsocial.com/deals/1592228-spa-treatment-package?pos=37
38,"
Close your eyes and ease into a relaxing state with this deal from Modalities8Therapy on Old Freeport Road, where clients cite a reduction in ten...",1502754,Pittsburgh,One-Hour Massage,$28,Modalities8Therapy,$55,https://www.livingsocial.com/deals/1502754-one-hour-massage?pos=38
39,"As one local raves about this favorite spot, ""Karaoke isn't just karaoke at Bob's Garage, it's like going to a show."" Head to this cheerful lounge ...",1485068,Pittsburgh,$20 to Spend American Fare,$10,Bob's Garage,$20,https://www.livingsocial.com/deals/1485068-20-to-spend-american-fare?pos=39
40,"There's no shame in not knowing the basics of computers (or social media, which can be pretty tricky to navigate). Hands-2-Help offers courses on e...",1511694,West Mifflin,10 Basic Computer or Social Media Classes,$45,Hands-2-Help Community Support Center,$125,https://www.livingsocial.com/deals/1511694-10-basic-computer-or-social-media-classes?pos=40
41,We like exercise classes as much as the next person just working on our fitness -- but promise us classes with one-on-one attention and heart-pound...,1254730,McKees Rocks,One Month of Small Group Training,$39,Without Limits Performance,$159,https://www.livingsocial.com/deals/1254730-one-month-of-small-group-training?pos=41
42,"Target stiff muscles and a stressed mind with this offer from Spa 54 in McKees Rocks:

• $39 ($80 value) for a one-hour deep-tissue massage 
• $...",1285880,McKees Rocks,"1-Hour Deep-Tissue, Swedish, or Hot Stone Massage",$39,Spa 54,$80,https://www.livingsocial.com/deals/1285880-1-hour-deep-tissue-swedish-or-hot-stone-massage?pos=42
43,"Licensed massage therapist Eileen Irwin Riley welcomes you to her warm studio in Forest Hills, where she accommodates loyal clients, including movi...",1520564,Forest Hills,75-Minute Melting Pot Massage ,$72,The Massage Place,$145,https://www.livingsocial.com/deals/1520564-75-minute-melting-pot-massage?pos=43
44,"Make sure you won't suffer through another summer of covering up your legs -- at Advanced Vein Center's 10 locations in western Pennsylvania, your ...",1527806,"Cranberry Township, Pittsburgh","Spider Vein Laser Treatment, or Sclerotherapy",$99,Advanced Vein Center,$500,https://www.livingsocial.com/deals/1527806-spider-vein-laser-treatment-or-sclerotherapy?pos=44
45,"With uncomfortable toenail fungus, picking a warm weather wardrobe and present a serious challenge. Get treated with FDA-cleared laser technology a...",1240156,"Bethel Park, Pittsburgh","Botox, Dysport, Photofacial or Nail Fungus Removal",$99,Body Beautiful Laser Medi Spa,$160,https://www.livingsocial.com/deals/1240156-botox-dysport-photofacial-or-nail-fungus-removal?pos=45
