,company_link,company_name,job_link,job_location,job_summary,job_title
22,http://www.indeed.com/cmp/Ppg-Industries,PPG Industries,http://www.indeed.com/rc/clk?jk=9405522643108204&fccid=d331f45cf2b412e1,"Burbank, CA","This position requires the use of, or access to, information subject to the. Correlate experimental data from projects;...",R&D Chemist II/I
23,http://www.indeed.com/cmp/Celgene-Corporation,Celgene Corporation,http://www.indeed.com/rc/clk?jk=9920611a89f5b6c5&fccid=b7b2b0ecc148eab5,"Summit, NJ 07901","We are looking for talented and experienced scientists and engineers that are excited by the opportunities provided by a fast growing organization, are...","Associate Scientist, Analytical Research & Development, Biologics"
24,http://www.indeed.com/cmp/The-Aerospace-Corporation,The Aerospace Corporation,http://www.indeed.com/rc/clk?jk=122b2d248b8f39e0&fccid=ba923b146fa75d0d,"El Segundo, CA 90245","Gather, assimilate, process and analyze a wide variety of open source and classified data and information, draw conclusions and extrapolate from the available...",RF Threat Analyst
25,"http://www.indeed.com/cmp/Measured-Progress,-Inc.","Measured Progress, Inc.",http://www.indeed.com/rc/clk?jk=ad8456d40b0bd799&fccid=6a8d5c50a6edc6d2,"Dover, NH 03820","The Statistical Analyst II is responsible for statistical analysis, data management, validation of data integrity, and preparation of data obtained from student...",Statistical Analyst II
26,,xometry,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD0OELDEqnL1IQCqVn7JgUoxXlX_sWZXJ9O4WRWF7QAoM98PEH3ZJjA_WW0BamLBAM1zBjSphw4wS8yZn8FeByfwrjaqRE1p03_y-n2hTd1cR7d8JCY89AwLjLYNasrvIUbF3jJ-ua3Hg4tvrwPdEExffJAAaBl0b8jwlctr2IRKj5IvxZVK0Tx6JCMCtPe6oC3Fio8FOZ84e5zJSnIiaUpYpC24FCKqsedDJlNdEXfxyQZ1Iz99JTMhgqb4qwOGXsH9m__Pftum_MMVkpfKpioRlch1Ylv52_LmbSFxYz6HkMpraCy5rFyd-TkgKk1fVV4tplFJJQB-nKMBhIdwqnaAV5FfhyUvQ88iC1KKY6uSRFG1krbnPBfG5fyUVONKlMqWidCeBAAvQIvU9wHYGjN0P7N6uPDi4=&p=4&sk=&fvj=0,"Durham, NC","Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. Knowledge of machine learning, optimization, and fitting...",Data Scientist
27,http://www.indeed.com/cmp/Norwich-Pharma-Services,Norwich Pharma Services,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bc1Uk6hk32V41oqfeZq78_6tSs421HMn5AfGl_R7HVJYx5_mvEZHYSwV6R84cM01sHX14l_lkSrmDcdrSt6PQGgqYxi8BvCeTVPJXXjtJfF-8i0WPoNypjIpObRDai1qUHUev2qaSPh9TcmYOwiZQnM2QuZWTcXZPhF8WuHfv2QD9ABoyISNQUScYoUhrWyypV0SzuOGOfbf2I6iZeG8BDO1SpVe7fZkhx50rUaKywzU5P4gYjPiCaXdeswnWu_-I_vT4SUjJg8SiydbJKOutKIK9-Grp6hpEIvwDtmTtRo_oTauK0dp4ZSE8-eiPOBi8v7JvH8OAeM6dt9afjsDXHJ9OfYGzTqCYnrycCrhfSKUb3ffw-tw-1t6iDjGcDVJnvPhsh_56kj1riz7CKlR158QNm7R7sfxd_L093-3BntkeWTQ3NUEpTZXsRUdg6pHu7FfEwiwgPE-xzuf2ACEgTNVWnpf3h-3Jrj6bWqyIRLhJ8MLCxGQmr&p=5&sk=&fvj=0,"Norwich, NY","Responsible for technical and scientific integrity of work performed by personnel. Strong organizational skills, ability to manage and complete assigned....",Sr Research Associate
28,,xometry,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CD0OELDEqnL1IQCqVn7JgUoxXlX_sWZXJ9O4WRWF7QAoM98PEH3ZJjA_WW0BamLBAM1zBjSphw4wS8yZn8FeByfwrjaqRE1p03_y-n2hTd1cR7d8JCY89AwLjLYNasrvIUbF3jJ-ua3Hg4tvrwPdEExffJAAaBl0bbn1omxrcjJ5hPpBWcWEAnYOriZxAE5_T9lE6Rvncn0PTCBLkBN5FlWpSWpRp8VXyztx8SsRdit47oSR6VGijWgTDZL_XEt4yySsOdC6rWyPn-OgWiGgM-Fo5TQ1Djf9ETEfEOwbguN2m0wioe7bQSXvQeJoZyVpkd-QCUBPmX8TEVLM2r6i_4y_XVLoGZ3dj-tlHvox8xov9B2r0nbPbm-Q-UIy-aUr5m_0JcJNiDM83LFBz_H-rLPJ7yCcjHMtA=&p=1&sk=&fvj=0,"Durham, NC","Xometry is seeking a data scientist to build the proprietary software that powers our analysis engine. Knowledge of machine learning, optimization, and fitting...",Data Scientist
29,http://www.indeed.com/cmp/Apple,Apple,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALQmW7bRT3ZHKtaJjNXoPCk-0cM-l34xOFPWKqIvS2lWSq05NV_kkvGRlQcNMmayG_IF0sJM754ko_fNdaAu4z8ZTtrZ1NKD-tCAelz2kg6rHF6SKruD7fmyblbL-ByvZUQcBz8vJ2i2XF3Vli1HjRzDnUQ1ipEbGbZZoX0PcbX3ccn7JX5B8AkG5B2wBSk7enqHWmTIZvsgmdFF8poH6_VAvakQENCyZQYq2oOqBhA9445MyRrjqAptaqj0kMlF0yqr8EWqn8cVeYFXYiGy2pNeKn-16x6AFM4a_qOJok5RdkctAeZ8-_34n4v9cWpTBiKK1GJttyrVuk5XcbdKrVTiM4Lsz56XxNfGeVZPi5WWQlMuAaUJ-3VQAmgk_4ODBP0fP9s62QNf-XrvjeVX7qBA6-dxfcrEena_cDtMzFaea-nrvUJjWvZc1AjBVoJ-GIPMy6kJBSToeiaYeKLx3oy636qjIP0IsIJjBo93pr5k8zAfS95ZTPR5fUF0znhYuXxoQCaWwXKNdwCc25T3NtcyBr62-rXoreCN7zGzJlMVMq18gGKmw6&p=2&sk=&fvj=0,"Santa Clara Valley, CA","Graduate degree required in Business (with quantitative emphasis), Statistics, Data Mining, Machine Learning, Analytics, Econometrics, Mathematics, Operations...",Sr. Data Scientist for Product Marketing - Customer Analytics Engineering
30,http://www.indeed.com/cmp/Walmart-Ecommerce,Walmart eCommerce,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASqHCEO9GpEUGjkXl8JxXxJB8G4bxm4-V1wqiPq6GTVg0dexUg4LUC1Xvy-Hj3JfvgW6Kn5vqROfEP7DBmdabnwGqVZXSr7gqBOaZltwR5TlPJtKzwqE1-IO0CXhoGzDGP3SoNTUll1xhn7NJxNuAudHHaiY06HryANxhTjjh5Xzlj_4CWRt1UvsfbFfIhA7j6O_lp7V1pgEKjT1m5gMFE0LeF9izs6YmJH4k7PTXN6bvJdABNYtRDLT3bAS-BkQudfe0ZXmecVP5Wu-JcPh_RyYKL2dhqwuZcAm5wqyIJSnBxiuCdzAu9Vyz547r1yHexHtPRWFGDa28doDTAJ0dZ2dEoXEafo5Tsr75EsVJO34biZC780Yt9OHqTpSXil1ucZLbKf5vr2mQ5Xirlw7jB&p=3&sk=&fvj=0,"San Bruno, CA 94066","We employ big data at scale -- from machine learning, data mining and optimization algorithms, to modeling and analyzing massive flows of data from online,...",Data Scientist
31,http://www.indeed.com/cmp/Pfizer-Inc.,Pfizer Inc.,http://www.indeed.com/company/Pfizer-Inc./jobs/Scientist-Immunogenicity-02f0a2d04c1b0b93?fccid=5e118f74384e090a,"Andover, MA",The successful candidate will closely work together with the immunogenicity scientists and quantitative protein mass spectrometrists to establish the utility of...,Scientist Immunogenicity
